,0,1,2,3,4,5,6,7,8
0,28.0,-244.0,21.0,51.0,12.0,-14.0,83.0,-1006.0,103.0
1,28.0,-249.0,22.0,50.0,13.0,-15.0,84.0,-1008.0,104.0
2,30.0,-246.0,25.0,47.0,16.0,-15.0,80.0,-1008.0,106.0
3,28.0,-247.0,21.0,47.0,16.0,-15.0,87.0,-1003.0,110.0
4,34.0,-243.0,35.0,47.0,17.0,-15.0,80.0,-1011.0,109.0
5,28.0,-246.0,25.0,46.0,19.0,-16.0,85.0,-1010.0,97.0
6,30.0,-247.0,23.0,47.0,19.0,-16.0,84.0,-1007.0,104.0
7,29.0,-248.0,23.0,47.0,21.0,-17.0,85.0,-1009.0,105.0
8,31.0,-249.0,22.0,46.0,21.0,-19.0,82.0,-1013.0,108.0
9,26.0,-245.0,25.0,45.0,22.0,-18.0,86.0,-1012.0,105.0
10,27.0,-247.0,26.0,47.0,23.0,-19.0,80.0,-1010.0,109.0
11,29.0,-245.0,22.0,46.0,23.0,-18.0,87.0,-1014.0,101.0
12,26.0,-245.0,25.0,45.0,22.0,-18.0,85.0,-1011.0,100.0
13,28.0,-245.0,21.0,44.0,21.0,-15.0,82.0,-1018.0,112.0
14,28.0,-248.0,26.0,45.0,22.0,-15.0,81.0,-1011.0,107.0
15,26.0,-248.0,22.0,45.0,21.0,-14.0,88.0,-1011.0,105.0
16,30.0,-247.0,26.0,45.0,21.0,-14.0,80.0,-1009.0,107.0
17,30.0,-246.0,27.0,43.0,20.0,-14.0,87.0,-1012.0,111.0
18,28.0,-247.0,24.0,43.0,18.0,-13.0,90.0,-1012.0,105.0
19,29.0,-245.0,23.0,44.0,17.0,-12.0,83.0,-1007.0,110.0
20,28.0,-240.0,26.0,43.0,18.0,-11.0,82.0,-1009.0,105.0
21,26.0,-244.0,25.0,43.0,17.0,-11.0,83.0,-1011.0,110.0
22,30.0,-246.0,22.0,42.0,16.0,-10.0,87.0,-1006.0,107.0
23,27.0,-242.0,20.0,44.0,16.0,-9.0,86.0,-1011.0,104.0
24,28.0,-245.0,23.0,44.0,15.0,-8.0,82.0,-1008.0,108.0
25,28.0,-244.0,27.0,44.0,14.0,-9.0,84.0,-1005.0,113.0
26,27.0,-244.0,24.0,45.0,13.0,-9.0,82.0,-1003.0,108.0
27,27.0,-247.0,25.0,46.0,13.0,-11.0,81.0,-1008.0,104.0
28,28.0,-245.0,24.0,48.0,13.0,-12.0,81.0,-1005.0,109.0
29,26.0,-245.0,22.0,51.0,13.0,-13.0,85.0,-1006.0,113.0
30,29.0,-245.0,23.0,52.0,14.0,-15.0,81.0,-1009.0,110.0
