,0,1,2,3,4,5,6,7,8
0,1.0,-251.0,22.0,49.0,2.0,0.0,-33.0,-1014.0,106.0
1,0.0,-248.0,22.0,49.0,2.0,1.0,-25.0,-1018.0,101.0
2,0.0,-247.0,19.0,50.0,1.0,2.0,-33.0,-1012.0,99.0
3,-2.0,-248.0,24.0,46.0,0.0,2.0,-33.0,-1019.0,99.0
4,0.0,-247.0,23.0,45.0,1.0,4.0,-25.0,-1021.0,102.0
5,-4.0,-241.0,21.0,42.0,1.0,2.0,-31.0,-1023.0,104.0
6,-1.0,-248.0,24.0,42.0,3.0,0.0,-33.0,-1019.0,108.0
7,-1.0,-246.0,23.0,43.0,3.0,0.0,-32.0,-1023.0,102.0
8,0.0,-249.0,23.0,46.0,4.0,-2.0,-26.0,-1020.0,99.0
9,2.0,-249.0,23.0,48.0,5.0,-4.0,-28.0,-1013.0,102.0
10,1.0,-248.0,26.0,53.0,3.0,-5.0,-31.0,-1016.0,103.0
11,-1.0,-244.0,24.0,56.0,3.0,-6.0,-34.0,-1012.0,103.0
12,-1.0,-242.0,19.0,60.0,3.0,-8.0,-28.0,-1010.0,104.0
13,1.0,-242.0,16.0,62.0,6.0,-7.0,-27.0,-1001.0,98.0
14,3.0,-243.0,22.0,59.0,7.0,-9.0,-35.0,-1006.0,100.0
15,0.0,-239.0,23.0,57.0,9.0,-8.0,-25.0,-1000.0,99.0
16,3.0,-248.0,22.0,54.0,11.0,-8.0,-24.0,-1008.0,94.0
17,0.0,-246.0,25.0,50.0,13.0,-8.0,-26.0,-1005.0,100.0
18,1.0,-249.0,21.0,47.0,13.0,-5.0,-28.0,-1010.0,104.0
19,0.0,-245.0,20.0,44.0,12.0,-5.0,-30.0,-1017.0,103.0
20,2.0,-249.0,21.0,41.0,14.0,-6.0,-32.0,-1019.0,102.0
21,0.0,-247.0,23.0,40.0,14.0,-5.0,-29.0,-1020.0,102.0
22,1.0,-246.0,23.0,41.0,11.0,-6.0,-28.0,-1020.0,104.0
23,-2.0,-246.0,27.0,43.0,9.0,-7.0,-34.0,-1019.0,104.0
24,0.0,-246.0,20.0,45.0,10.0,-8.0,-24.0,-1010.0,104.0
25,0.0,-250.0,20.0,47.0,8.0,-8.0,-32.0,-1012.0,101.0
26,-5.0,-241.0,16.0,47.0,8.0,-10.0,-28.0,-1006.0,100.0
27,2.0,-250.0,22.0,46.0,9.0,-10.0,-31.0,-1014.0,98.0
28,-1.0,-246.0,23.0,43.0,11.0,-9.0,-28.0,-1011.0,101.0
29,0.0,-248.0,26.0,39.0,13.0,-9.0,-34.0,-1012.0,99.0
30,-1.0,-246.0,23.0,35.0,12.0,-11.0,-30.0,-1017.0,97.0
31,0.0,-248.0,25.0,34.0,13.0,-9.0,-31.0,-1020.0,99.0
32,1.0,-248.0,21.0,33.0,13.0,-11.0,-29.0,-1025.0,100.0
33,0.0,-246.0,23.0,34.0,14.0,-11.0,-33.0,-1017.0,103.0
34,1.0,-247.0,24.0,36.0,12.0,-12.0,-32.0,-1020.0,100.0
35,-1.0,-250.0,23.0,38.0,11.0,-12.0,-35.0,-1021.0,100.0
36,1.0,-247.0,25.0,42.0,13.0,-11.0,-31.0,-1016.0,99.0
37,2.0,-244.0,21.0,45.0,14.0,-11.0,-32.0,-1020.0,99.0
38,1.0,-247.0,19.0,45.0,14.0,-11.0,-33.0,-1021.0,96.0
39,2.0,-251.0,23.0,44.0,16.0,-10.0,-27.0,-1019.0,94.0
40,0.0,-247.0,20.0,41.0,17.0,-9.0,-28.0,-1022.0,93.0
41,0.0,-249.0,22.0,40.0,16.0,-9.0,-28.0,-1019.0,100.0
42,0.0,-250.0,24.0,41.0,14.0,-8.0,-30.0,-1033.0,106.0
43,-1.0,-248.0,28.0,43.0,12.0,-8.0,-31.0,-1022.0,100.0
44,0.0,-247.0,25.0,48.0,9.0,-9.0,-32.0,-1020.0,97.0
45,0.0,-245.0,20.0,51.0,8.0,-8.0,-29.0,-1018.0,96.0
46,-3.0,-243.0,21.0,54.0,8.0,-10.0,-34.0,-1021.0,101.0
47,0.0,-249.0,18.0,57.0,10.0,-9.0,-28.0,-1016.0,96.0
48,0.0,-245.0,24.0,55.0,11.0,-11.0,-32.0,-1006.0,94.0
49,0.0,-246.0,23.0,52.0,14.0,-12.0,-33.0,-1007.0,101.0
50,1.0,-246.0,22.0,51.0,14.0,-13.0,-32.0,-1006.0,96.0
51,0.0,-248.0,23.0,47.0,15.0,-14.0,-34.0,-1006.0,101.0
52,0.0,-247.0,21.0,45.0,16.0,-14.0,-31.0,-1013.0,99.0
53,0.0,-246.0,21.0,44.0,14.0,-14.0,-33.0,-1012.0,99.0
54,1.0,-250.0,27.0,45.0,15.0,-13.0,-34.0,-1013.0,95.0
55,0.0,-245.0,21.0,43.0,16.0,-13.0,-30.0,-1008.0,96.0
56,0.0,-246.0,20.0,43.0,18.0,-14.0,-36.0,-1018.0,95.0
57,1.0,-248.0,23.0,44.0,19.0,-12.0,-33.0,-1014.0,100.0
58,2.0,-249.0,31.0,44.0,19.0,-12.0,-31.0,-1016.0,95.0
59,0.0,-247.0,21.0,43.0,19.0,-12.0,-29.0,-1014.0,102.0
60,0.0,-244.0,25.0,43.0,19.0,-12.0,-32.0,-1016.0,100.0
61,0.0,-249.0,19.0,43.0,18.0,-12.0,-29.0,-1016.0,105.0
