,0,1,2,3,4,5,6,7,8
0,-16.0,-253.0,-70.0,-6.0,86.0,3.0,-42.0,-983.0,-316.0
1,-18.0,-247.0,-70.0,-6.0,86.0,3.0,-46.0,-975.0,-310.0
2,-18.0,-251.0,-67.0,-6.0,88.0,2.0,-43.0,-974.0,-313.0
3,-15.0,-253.0,-66.0,-8.0,88.0,3.0,-42.0,-975.0,-308.0
4,-17.0,-247.0,-65.0,-10.0,89.0,3.0,-45.0,-975.0,-309.0
5,-21.0,-251.0,-62.0,-10.0,89.0,4.0,-45.0,-974.0,-317.0
6,-21.0,-253.0,-66.0,-10.0,90.0,3.0,-47.0,-980.0,-308.0
7,-17.0,-252.0,-65.0,-9.0,90.0,3.0,-47.0,-978.0,-305.0
8,-20.0,-251.0,-67.0,-8.0,89.0,2.0,-45.0,-974.0,-307.0
9,-19.0,-250.0,-68.0,-7.0,89.0,3.0,-46.0,-976.0,-309.0
10,-16.0,-251.0,-65.0,-6.0,88.0,3.0,-45.0,-979.0,-309.0
11,-19.0,-254.0,-65.0,-7.0,87.0,3.0,-46.0,-979.0,-311.0
12,-21.0,-253.0,-65.0,-6.0,86.0,3.0,-46.0,-979.0,-312.0
13,-17.0,-252.0,-68.0,-4.0,86.0,3.0,-46.0,-977.0,-313.0
14,-19.0,-252.0,-67.0,-5.0,85.0,2.0,-47.0,-978.0,-317.0
15,-18.0,-250.0,-71.0,-5.0,86.0,2.0,-44.0,-979.0,-318.0
16,-19.0,-250.0,-66.0,-8.0,87.0,1.0,-51.0,-973.0,-307.0
17,-14.0,-254.0,-69.0,-11.0,88.0,2.0,-47.0,-978.0,-311.0
18,-16.0,-250.0,-66.0,-13.0,87.0,2.0,-46.0,-972.0,-303.0
19,-18.0,-254.0,-67.0,-14.0,88.0,1.0,-52.0,-976.0,-309.0
20,-19.0,-249.0,-67.0,-14.0,89.0,0.0,-42.0,-974.0,-306.0
21,-19.0,-253.0,-69.0,-14.0,89.0,0.0,-47.0,-981.0,-307.0
22,-19.0,-248.0,-66.0,-12.0,89.0,2.0,-46.0,-977.0,-316.0
23,-17.0,-251.0,-67.0,-11.0,91.0,1.0,-47.0,-979.0,-310.0
