,0,1,2,3,4,5,6,7,8
0,-32.0,-228.0,-95.0,283.0,25.0,-75.0,-139.0,-944.0,-353.0
1,-34.0,-226.0,-91.0,275.0,18.0,-87.0,-132.0,-945.0,-354.0
2,-34.0,-227.0,-90.0,262.0,13.0,-99.0,-138.0,-940.0,-351.0
3,-31.0,-228.0,-91.0,245.0,3.0,-105.0,-134.0,-942.0,-361.0
4,-30.0,-228.0,-94.0,225.0,-18.0,-109.0,-124.0,-950.0,-370.0
5,-25.0,-237.0,-91.0,204.0,-42.0,-111.0,-122.0,-955.0,-381.0
6,-28.0,-231.0,-104.0,187.0,-74.0,-110.0,-112.0,-960.0,-382.0
7,-23.0,-232.0,-98.0,174.0,-103.0,-106.0,-112.0,-960.0,-375.0
8,-22.0,-235.0,-94.0,172.0,-131.0,-103.0,-104.0,-959.0,-371.0
9,-24.0,-236.0,-93.0,183.0,-154.0,-104.0,-101.0,-966.0,-357.0
10,-20.0,-238.0,-89.0,200.0,-171.0,-109.0,-100.0,-974.0,-355.0
11,-19.0,-237.0,-87.0,223.0,-186.0,-119.0,-90.0,-979.0,-343.0
12,-15.0,-241.0,-90.0,244.0,-200.0,-135.0,-80.0,-984.0,-355.0
13,-15.0,-241.0,-93.0,264.0,-211.0,-151.0,-66.0,-989.0,-347.0
14,-10.0,-237.0,-93.0,276.0,-212.0,-172.0,-47.0,-982.0,-366.0
15,-7.0,-239.0,-95.0,275.0,-207.0,-192.0,-38.0,-975.0,-367.0
16,-6.0,-236.0,-96.0,262.0,-195.0,-208.0,-28.0,-967.0,-372.0
17,0.0,-234.0,-89.0,240.0,-183.0,-221.0,-21.0,-962.0,-356.0
18,3.0,-236.0,-85.0,216.0,-173.0,-227.0,-6.0,-966.0,-338.0
19,3.0,-233.0,-86.0,193.0,-168.0,-229.0,1.0,-960.0,-329.0
20,8.0,-237.0,-79.0,172.0,-167.0,-224.0,18.0,-967.0,-313.0
21,12.0,-237.0,-79.0,160.0,-167.0,-217.0,34.0,-971.0,-300.0
22,18.0,-237.0,-71.0,156.0,-168.0,-203.0,51.0,-977.0,-285.0
23,16.0,-237.0,-70.0,160.0,-176.0,-189.0,73.0,-983.0,-275.0
