,acc1_x,acc1_y,acc1_z,gyro_x,gyro_y,gyro_z,acc2_x,acc2_y,acc2_z,label
0,-65.0,-280.0,-33.0,-111.0,138.0,152.0,-229.0,-1091.0,-182.0,2
1,-67.0,-283.0,-37.0,-97.0,111.0,141.0,-236.0,-1094.0,-190.0,2
2,-72.0,-283.0,-39.0,-83.0,85.0,133.0,-240.0,-1100.0,-197.0,2
3,-75.0,-284.0,-43.0,-66.0,57.0,127.0,-267.0,-1104.0,-203.0,2
4,-81.0,-287.0,-39.0,-45.0,29.0,119.0,-277.0,-1108.0,-205.0,2
5,-83.0,-287.0,-43.0,-16.0,5.0,116.0,-290.0,-1111.0,-192.0,2
6,-81.0,-285.0,-49.0,14.0,-27.0,114.0,-316.0,-1114.0,-204.0,2
7,-88.0,-287.0,-34.0,40.0,-60.0,115.0,-323.0,-1108.0,-199.0,2
8,-97.0,-283.0,-36.0,60.0,-95.0,114.0,-343.0,-1105.0,-195.0,2
9,-109.0,-288.0,-35.0,79.0,-125.0,117.0,-359.0,-1104.0,-183.0,2
10,-114.0,-279.0,-44.0,102.0,-154.0,119.0,-370.0,-1095.0,-178.0,2
11,-102.0,-283.0,-41.0,122.0,-183.0,121.0,-372.0,-1085.0,-175.0,2
12,-105.0,-284.0,-30.0,138.0,-209.0,121.0,-368.0,-1086.0,-181.0,2
13,-90.0,-279.0,-48.0,145.0,-230.0,124.0,-343.0,-1080.0,-188.0,2
14,-83.0,-280.0,-40.0,141.0,-249.0,127.0,-314.0,-1076.0,-186.0,2
15,-69.0,-273.0,-45.0,129.0,-261.0,131.0,-269.0,-1080.0,-194.0,2
16,-62.0,-274.0,-43.0,113.0,-265.0,132.0,-222.0,-1084.0,-193.0,2
17,-52.0,-276.0,-38.0,98.0,-261.0,123.0,-180.0,-1078.0,-195.0,2
18,-48.0,-276.0,-50.0,89.0,-249.0,105.0,-163.0,-1068.0,-231.0,2
19,-51.0,-273.0,-61.0,88.0,-232.0,78.0,-176.0,-1055.0,-271.0,2
20,-57.0,-265.0,-73.0,87.0,-218.0,45.0,-188.0,-1038.0,-328.0,2
21,-53.0,-263.0,-85.0,74.0,-205.0,11.0,-185.0,-1022.0,-382.0,2
22,-49.0,-260.0,-94.0,52.0,-183.0,-24.0,-177.0,-1022.0,-424.0,2
23,-47.0,-260.0,-102.0,23.0,-142.0,-53.0,-160.0,-1025.0,-450.0,2
24,-42.0,-265.0,-104.0,-11.0,-87.0,-79.0,-139.0,-1040.0,-464.0,2
25,-36.0,-272.0,-105.0,-40.0,-35.0,-104.0,-111.0,-1063.0,-478.0,2
26,-22.0,-296.0,-105.0,-63.0,6.0,-130.0,-102.0,-1068.0,-472.0,2
27,-41.0,-271.0,-106.0,-72.0,29.0,-155.0,-88.0,-1072.0,-475.0,2
28,-24.0,-288.0,-113.0,-68.0,35.0,-177.0,-65.0,-1060.0,-492.0,2
29,-22.0,-282.0,-115.0,-56.0,29.0,-192.0,-46.0,-1045.0,-527.0,2
30,-22.0,-263.0,-109.0,-45.0,17.0,-198.0,-43.0,-1017.0,-555.0,2
31,-16.0,-251.0,-138.0,-25.0,-6.0,-201.0,-40.0,-977.0,-574.0,2
32,-25.0,-250.0,-132.0,1.0,-37.0,-199.0,-41.0,-954.0,-585.0,2
33,-17.0,-235.0,-121.0,30.0,-68.0,-192.0,-41.0,-921.0,-570.0,2
34,-30.0,-241.0,-121.0,63.0,-94.0,-182.0,-50.0,-906.0,-546.0,2
35,-15.0,-224.0,-108.0,101.0,-113.0,-169.0,-43.0,-903.0,-509.0,2
36,-23.0,-234.0,-107.0,123.0,-121.0,-158.0,-50.0,-889.0,-467.0,2
37,-20.0,-229.0,-98.0,121.0,-119.0,-147.0,-61.0,-886.0,-448.0,2
38,-20.0,-231.0,-94.0,86.0,-112.0,-143.0,-71.0,-893.0,-427.0,2
39,-25.0,-235.0,-93.0,22.0,-106.0,-147.0,-77.0,-909.0,-421.0,2
40,-24.0,-228.0,-95.0,-56.0,-110.0,-164.0,-77.0,-923.0,-414.0,2
41,-31.0,-247.0,-92.0,-121.0,-125.0,-187.0,-65.0,-934.0,-417.0,2
42,-27.0,-248.0,-109.0,-154.0,-148.0,-214.0,-47.0,-947.0,-420.0,2
43,-12.0,-250.0,-96.0,-153.0,-167.0,-237.0,-23.0,-947.0,-433.0,2
44,-6.0,-248.0,-97.0,-129.0,-174.0,-254.0,2.0,-941.0,-438.0,2
45,-7.0,-245.0,-100.0,-90.0,-173.0,-270.0,11.0,-934.0,-436.0,2
46,0.0,-237.0,-91.0,-54.0,-163.0,-289.0,21.0,-925.0,-438.0,2
47,1.0,-235.0,-92.0,-37.0,-155.0,-307.0,30.0,-917.0,-428.0,2
48,11.0,-236.0,-94.0,-31.0,-146.0,-327.0,42.0,-912.0,-419.0,2
49,10.0,-239.0,-94.0,-33.0,-134.0,-350.0,59.0,-905.0,-415.0,2
50,7.0,-236.0,-98.0,-43.0,-119.0,-373.0,63.0,-898.0,-413.0,2
51,5.0,-231.0,-81.0,-56.0,-102.0,-390.0,68.0,-897.0,-395.0,2
52,12.0,-232.0,-86.0,-62.0,-85.0,-403.0,74.0,-891.0,-406.0,2
53,11.0,-235.0,-87.0,-55.0,-68.0,-406.0,76.0,-891.0,-388.0,2
54,10.0,-233.0,-84.0,-46.0,-52.0,-408.0,66.0,-887.0,-386.0,2
55,6.0,-234.0,-87.0,-41.0,-42.0,-403.0,56.0,-888.0,-385.0,2
56,11.0,-234.0,-83.0,-47.0,-35.0,-400.0,42.0,-894.0,-384.0,2
57,0.0,-220.0,-82.0,-60.0,-33.0,-398.0,29.0,-896.0,-387.0,2
58,-3.0,-228.0,-66.0,-77.0,-35.0,-397.0,10.0,-896.0,-399.0,2
59,-11.0,-234.0,-105.0,-95.0,-36.0,-396.0,-18.0,-904.0,-396.0,2
60,-7.0,-239.0,-75.0,-113.0,-40.0,-390.0,-25.0,-906.0,-400.0,2
61,-20.0,-237.0,-90.0,-124.0,-43.0,-385.0,-33.0,-912.0,-404.0,2
62,-15.0,-242.0,-78.0,-130.0,-42.0,-381.0,-36.0,-911.0,-395.0,2
63,-11.0,-233.0,-83.0,-127.0,-42.0,-375.0,-37.0,-915.0,-382.0,2
64,-19.0,-235.0,-75.0,-114.0,-42.0,-363.0,-35.0,-912.0,-370.0,2
65,-16.0,-229.0,-77.0,-100.0,-49.0,-351.0,-40.0,-910.0,-371.0,2
66,-16.0,-236.0,-71.0,-88.0,-56.0,-335.0,-50.0,-899.0,-358.0,2
67,-19.0,-232.0,-78.0,-79.0,-67.0,-316.0,-49.0,-886.0,-347.0,2
68,-22.0,-230.0,-80.0,-78.0,-81.0,-296.0,-46.0,-887.0,-342.0,2
69,-19.0,-226.0,-76.0,-82.0,-100.0,-276.0,-45.0,-873.0,-338.0,2
70,-20.0,-226.0,-74.0,-88.0,-119.0,-257.0,-48.0,-870.0,-333.0,2
71,-18.0,-220.0,-71.0,-104.0,-142.0,-239.0,-42.0,-865.0,-328.0,2
72,-20.0,-222.0,-66.0,-124.0,-165.0,-223.0,-47.0,-869.0,-324.0,2
73,-20.0,-226.0,-73.0,-137.0,-188.0,-213.0,-50.0,-868.0,-310.0,2
74,-14.0,-224.0,-67.0,-141.0,-204.0,-203.0,-48.0,-871.0,-304.0,2
75,-16.0,-222.0,-66.0,-141.0,-219.0,-197.0,-45.0,-862.0,-293.0,2
76,-8.0,-225.0,-53.0,-140.0,-235.0,-196.0,-30.0,-869.0,-298.0,2
77,-11.0,-227.0,-61.0,-140.0,-249.0,-196.0,-21.0,-861.0,-288.0,2
78,-5.0,-223.0,-54.0,-138.0,-258.0,-199.0,-8.0,-858.0,-289.0,2
79,1.0,-225.0,-69.0,-139.0,-266.0,-203.0,10.0,-858.0,-292.0,2
80,2.0,-227.0,-63.0,-142.0,-267.0,-208.0,26.0,-853.0,-280.0,2
81,6.0,-213.0,-61.0,-145.0,-257.0,-217.0,43.0,-852.0,-275.0,2
82,12.0,-217.0,-63.0,-148.0,-246.0,-227.0,54.0,-847.0,-275.0,2
83,12.0,-223.0,-56.0,-150.0,-232.0,-235.0,73.0,-843.0,-277.0,2
84,12.0,-216.0,-59.0,-153.0,-222.0,-242.0,78.0,-839.0,-279.0,2
85,12.0,-215.0,-59.0,-157.0,-206.0,-244.0,82.0,-829.0,-274.0,2
86,15.0,-216.0,-59.0,-155.0,-194.0,-245.0,89.0,-827.0,-279.0,2
87,14.0,-214.0,-64.0,-146.0,-186.0,-248.0,100.0,-827.0,-280.0,2
88,15.0,-213.0,-64.0,-130.0,-174.0,-255.0,101.0,-818.0,-276.0,2
89,18.0,-215.0,-55.0,-110.0,-160.0,-263.0,92.0,-817.0,-270.0,2
90,12.0,-210.0,-56.0,-94.0,-149.0,-257.0,86.0,-824.0,-247.0,2
91,18.0,-214.0,-44.0,-84.0,-142.0,-241.0,78.0,-839.0,-216.0,2
92,3.0,-226.0,-38.0,-80.0,-144.0,-217.0,59.0,-847.0,-191.0,2
93,-1.0,-227.0,-38.0,-75.0,-151.0,-192.0,44.0,-855.0,-176.0,2
94,1.0,-228.0,-24.0,-72.0,-159.0,-167.0,37.0,-871.0,-171.0,2
95,13.0,-233.0,-33.0,-72.0,-168.0,-146.0,25.0,-877.0,-164.0,2
96,-1.0,-244.0,-28.0,-65.0,-176.0,-126.0,18.0,-885.0,-169.0,2
97,-5.0,-233.0,-26.0,-44.0,-181.0,-102.0,12.0,-892.0,-173.0,2
98,-3.0,-230.0,-32.0,-14.0,-188.0,-76.0,16.0,-891.0,-179.0,2
99,-2.0,-231.0,-37.0,15.0,-196.0,-50.0,25.0,-890.0,-183.0,2
100,0.0,-233.0,-37.0,40.0,-203.0,-24.0,25.0,-887.0,-189.0,2
101,0.0,-231.0,-38.0,50.0,-212.0,-2.0,36.0,-894.0,-198.0,2
102,7.0,-230.0,-31.0,49.0,-215.0,19.0,44.0,-898.0,-194.0,2
103,5.0,-233.0,-39.0,35.0,-216.0,40.0,53.0,-905.0,-187.0,2
104,13.0,-237.0,-32.0,21.0,-214.0,58.0,59.0,-911.0,-184.0,2
105,17.0,-234.0,-34.0,13.0,-203.0,70.0,71.0,-918.0,-189.0,2
106,11.0,-240.0,-38.0,10.0,-183.0,77.0,76.0,-925.0,-193.0,2
107,15.0,-254.0,-35.0,17.0,-156.0,78.0,81.0,-920.0,-199.0,2
108,17.0,-243.0,-39.0,30.0,-121.0,75.0,92.0,-927.0,-209.0,2
109,18.0,-241.0,-47.0,42.0,-78.0,68.0,108.0,-935.0,-215.0,2
110,26.0,-243.0,-49.0,53.0,-35.0,63.0,118.0,-933.0,-231.0,2
