,acc1_x,acc1_y,acc1_z,gyro_x,gyro_y,gyro_z,acc2_x,acc2_y,acc2_z,label
0,42.0,-231.0,-68.0,-44.0,199.0,-133.0,129.0,-904.0,-189.0,2
1,46.0,-233.0,-71.0,-74.0,212.0,-122.0,136.0,-910.0,-210.0,2
2,45.0,-236.0,-76.0,-105.0,229.0,-114.0,149.0,-926.0,-237.0,2
3,49.0,-237.0,-78.0,-140.0,255.0,-110.0,147.0,-927.0,-238.0,2
4,50.0,-242.0,-74.0,-163.0,281.0,-102.0,161.0,-941.0,-223.0,2
5,54.0,-250.0,-69.0,-177.0,292.0,-95.0,167.0,-960.0,-223.0,2
6,53.0,-241.0,-66.0,-188.0,296.0,-93.0,172.0,-959.0,-222.0,2
7,52.0,-251.0,-79.0,-186.0,299.0,-95.0,165.0,-965.0,-204.0,2
8,53.0,-251.0,-64.0,-171.0,294.0,-94.0,153.0,-985.0,-192.0,2
9,41.0,-257.0,-60.0,-155.0,280.0,-103.0,139.0,-988.0,-189.0,2
10,36.0,-248.0,-65.0,-140.0,261.0,-107.0,109.0,-989.0,-168.0,2
11,34.0,-250.0,-54.0,-122.0,242.0,-110.0,107.0,-983.0,-160.0,2
12,29.0,-254.0,-61.0,-101.0,225.0,-108.0,97.0,-974.0,-168.0,2
13,37.0,-253.0,-70.0,-80.0,219.0,-102.0,94.0,-971.0,-176.0,2
14,37.0,-249.0,-77.0,-70.0,217.0,-93.0,95.0,-962.0,-173.0,2
15,29.0,-249.0,-54.0,-66.0,210.0,-95.0,80.0,-951.0,-169.0,2
16,33.0,-236.0,-57.0,-69.0,192.0,-89.0,70.0,-952.0,-169.0,2
17,31.0,-246.0,-56.0,-78.0,168.0,-91.0,72.0,-944.0,-164.0,2
18,25.0,-245.0,-59.0,-85.0,144.0,-92.0,72.0,-940.0,-162.0,2
19,24.0,-252.0,-50.0,-90.0,122.0,-97.0,75.0,-949.0,-163.0,2
20,22.0,-242.0,-63.0,-94.0,106.0,-97.0,71.0,-957.0,-169.0,2
21,28.0,-247.0,-45.0,-101.0,86.0,-96.0,78.0,-961.0,-158.0,2
