,acc1_x,acc1_y,acc1_z,gyro_x,gyro_y,gyro_z,acc2_x,acc2_y,acc2_z,label
2861,-13.0,-259.0,61.0,-132.0,25.0,-299.0,-59.0,-1058.0,257.0,6
2862,-18.0,-251.0,66.0,-92.0,6.0,-296.0,-72.0,-1037.0,286.0,6
2863,-14.0,-257.0,70.0,-58.0,-7.0,-291.0,-75.0,-1033.0,292.0,6
2864,-18.0,-254.0,62.0,-27.0,-9.0,-280.0,-70.0,-1035.0,281.0,6
2865,-17.0,-248.0,58.0,7.0,-14.0,-267.0,-69.0,-1017.0,264.0,6
2866,-10.0,-244.0,56.0,35.0,-25.0,-249.0,-46.0,-996.0,251.0,6
2867,-2.0,-236.0,52.0,53.0,-30.0,-230.0,-15.0,-962.0,218.0,6
2868,0.0,-229.0,41.0,63.0,-33.0,-212.0,14.0,-929.0,197.0,6
2869,8.0,-222.0,42.0,65.0,-33.0,-194.0,38.0,-908.0,181.0,6
2870,12.0,-221.0,38.0,59.0,-36.0,-174.0,59.0,-900.0,167.0,6
2871,21.0,-215.0,31.0,44.0,-43.0,-160.0,79.0,-896.0,156.0,6
2872,25.0,-219.0,35.0,25.0,-55.0,-153.0,101.0,-900.0,153.0,6
2873,27.0,-219.0,24.0,-6.0,-69.0,-155.0,110.0,-924.0,142.0,6
2874,31.0,-230.0,35.0,-43.0,-81.0,-165.0,120.0,-944.0,157.0,6
2875,31.0,-238.0,38.0,-67.0,-84.0,-185.0,113.0,-986.0,171.0,6
2876,27.0,-248.0,40.0,-78.0,-80.0,-202.0,100.0,-1011.0,188.0,6
2877,17.0,-255.0,45.0,-86.0,-79.0,-221.0,67.0,-1034.0,209.0,6
2878,17.0,-258.0,47.0,-87.0,-78.0,-233.0,53.0,-1058.0,225.0,6
2879,9.0,-259.0,48.0,-80.0,-79.0,-238.0,38.0,-1064.0,206.0,6
2880,2.0,-261.0,46.0,-60.0,-76.0,-233.0,18.0,-1074.0,200.0,6
2881,1.0,-266.0,40.0,-22.0,-67.0,-222.0,7.0,-1081.0,186.0,6
2882,1.0,-264.0,38.0,31.0,-55.0,-203.0,2.0,-1085.0,172.0,6
2883,-2.0,-261.0,39.0,94.0,-42.0,-183.0,-9.0,-1071.0,186.0,6
2884,-6.0,-258.0,46.0,155.0,-37.0,-160.0,-25.0,-1042.0,194.0,6
2885,-9.0,-244.0,52.0,205.0,-40.0,-138.0,-37.0,-1006.0,219.0,6
2886,-16.0,-236.0,56.0,240.0,-46.0,-117.0,-53.0,-975.0,237.0,6
2887,-17.0,-228.0,62.0,259.0,-52.0,-99.0,-72.0,-946.0,250.0,6
2888,-22.0,-221.0,58.0,261.0,-53.0,-84.0,-81.0,-921.0,248.0,6
2889,-28.0,-214.0,60.0,246.0,-55.0,-68.0,-100.0,-890.0,249.0,6
2890,-32.0,-210.0,59.0,219.0,-65.0,-46.0,-121.0,-874.0,257.0,6
2891,-34.0,-211.0,58.0,182.0,-95.0,-17.0,-124.0,-865.0,253.0,6
2892,-28.0,-210.0,56.0,140.0,-134.0,6.0,-103.0,-878.0,236.0,6
2893,-31.0,-218.0,44.0,103.0,-157.0,32.0,-74.0,-898.0,224.0,6
2894,-17.0,-221.0,40.0,80.0,-149.0,61.0,-76.0,-925.0,194.0,6
2895,-21.0,-234.0,39.0,70.0,-131.0,85.0,-87.0,-952.0,165.0,6
2896,-16.0,-238.0,24.0,75.0,-131.0,112.0,-65.0,-969.0,128.0,6
2897,-3.0,-242.0,12.0,80.0,-141.0,141.0,-22.0,-988.0,94.0,6
2898,9.0,-246.0,6.0,81.0,-136.0,171.0,33.0,-1012.0,49.0,6
2899,22.0,-255.0,1.0,82.0,-108.0,206.0,83.0,-1043.0,20.0,6
2900,32.0,-262.0,-3.0,80.0,-65.0,240.0,121.0,-1075.0,4.0,6
2901,43.0,-274.0,-7.0,74.0,-31.0,277.0,160.0,-1113.0,-4.0,6
2902,53.0,-284.0,-9.0,62.0,-8.0,313.0,194.0,-1155.0,0.0,6
2903,53.0,-289.0,-4.0,35.0,13.0,351.0,237.0,-1193.0,7.0,6
2904,65.0,-307.0,4.0,-9.0,40.0,390.0,268.0,-1241.0,34.0,6
2905,64.0,-317.0,8.0,-34.0,66.0,424.0,256.0,-1299.0,62.0,6
2906,62.0,-327.0,7.0,-23.0,86.0,449.0,240.0,-1333.0,57.0,6
2907,47.0,-333.0,0.0,8.0,102.0,468.0,193.0,-1360.0,36.0,6
2908,43.0,-339.0,-6.0,45.0,114.0,482.0,171.0,-1376.0,3.0,6
2909,40.0,-342.0,-4.0,77.0,123.0,491.0,163.0,-1395.0,-3.0,6
