,acc1_x,acc1_y,acc1_z,gyro_x,gyro_y,gyro_z,acc2_x,acc2_y,acc2_z,label
108,-19.0,-228.0,-66.0,26.0,-110.0,-101.0,-67.0,-936.0,-260.0,5
109,-12.0,-230.0,-64.0,-7.0,-103.0,-93.0,-47.0,-933.0,-254.0,5
110,-6.0,-228.0,-67.0,-33.0,-92.0,-85.0,-28.0,-922.0,-247.0,5
111,-2.0,-226.0,-59.0,-50.0,-74.0,-81.0,-6.0,-916.0,-234.0,5
112,3.0,-217.0,-57.0,-60.0,-51.0,-77.0,12.0,-914.0,-223.0,5
113,5.0,-220.0,-59.0,-66.0,-25.0,-73.0,25.0,-908.0,-216.0,5
114,11.0,-219.0,-58.0,-76.0,0.0,-70.0,39.0,-904.0,-205.0,5
115,14.0,-220.0,-58.0,-85.0,25.0,-72.0,59.0,-900.0,-210.0,5
116,24.0,-218.0,-58.0,-98.0,56.0,-73.0,91.0,-907.0,-224.0,5
117,28.0,-220.0,-59.0,-114.0,99.0,-77.0,97.0,-910.0,-216.0,5
118,30.0,-221.0,-57.0,-132.0,144.0,-85.0,105.0,-911.0,-215.0,5
119,28.0,-221.0,-59.0,-150.0,198.0,-94.0,117.0,-920.0,-220.0,5
120,35.0,-227.0,-60.0,-169.0,241.0,-103.0,139.0,-937.0,-226.0,5
121,40.0,-233.0,-64.0,-190.0,275.0,-111.0,149.0,-955.0,-242.0,5
122,39.0,-240.0,-68.0,-214.0,304.0,-122.0,148.0,-976.0,-256.0,5
123,39.0,-245.0,-62.0,-240.0,325.0,-129.0,149.0,-1000.0,-260.0,5
124,38.0,-253.0,-68.0,-256.0,341.0,-133.0,143.0,-1022.0,-269.0,5
125,40.0,-255.0,-69.0,-265.0,353.0,-139.0,152.0,-1048.0,-261.0,5
126,39.0,-260.0,-68.0,-263.0,368.0,-143.0,152.0,-1062.0,-258.0,5
127,42.0,-261.0,-64.0,-253.0,389.0,-147.0,156.0,-1077.0,-246.0,5
128,43.0,-265.0,-59.0,-237.0,410.0,-151.0,157.0,-1089.0,-222.0,5
129,41.0,-267.0,-50.0,-212.0,426.0,-157.0,160.0,-1102.0,-196.0,5
130,42.0,-270.0,-53.0,-180.0,436.0,-168.0,154.0,-1101.0,-179.0,5
131,45.0,-271.0,-43.0,-144.0,440.0,-182.0,159.0,-1111.0,-166.0,5
132,34.0,-272.0,-41.0,-122.0,436.0,-194.0,149.0,-1115.0,-151.0,5
133,32.0,-274.0,-35.0,-108.0,420.0,-199.0,132.0,-1112.0,-136.0,5
